GeneID,TranscriptID,GC
ENSOANG00000031802,ENSOANT00000041968,56.44
ENSOANG00000014228,ENSOANT00000022432,56.59
ENSOANG00000009938,ENSOANT00000015752,65.43
ENSOANG00000004576,ENSOANT00000007252,49.96
ENSOANG00000004576,ENSOANT00000031741,49.96
ENSOANG00000011572,ENSOANT00000018337,57.44
ENSOANG00000011571,ENSOANT00000018335,48.44
ENSOANG00000011570,ENSOANT00000018333,48.50
ENSOANG00000011569,ENSOANT00000018332,56.26
ENSOANG00000011568,ENSOANT00000018330,57.82
ENSOANG00000011567,ENSOANT00000018329,58.56
ENSOANG00000011566,ENSOANT00000018327,62.99
ENSOANG00000011566,ENSOANT00000018328,62.99
ENSOANG00000020393,ENSOANT00000029722,70.06
ENSOANG00000011041,ENSOANT00000017492,57.92
ENSOANG00000011565,ENSOANT00000018326,68.12
ENSOANG00000011564,ENSOANT00000018325,61.15
ENSOANG00000029060,ENSOANT00000039559,46.52
ENSOANG00000011563,ENSOANT00000018323,70.91
ENSOANG00000014381,ENSOANT00000022671,55.18
ENSOANG00000014381,ENSOANT00000022672,55.18
ENSOANG00000014382,ENSOANT00000022673,62.65
ENSOANG00000011115,ENSOANT00000017613,55.12
ENSOANG00000014383,ENSOANT00000022674,54.66
ENSOANG00000001695,ENSOANT00000002709,52.95
ENSOANG00000011116,ENSOANT00000017615,61.33
ENSOANG00000014384,ENSOANT00000022676,69.72
ENSOANG00000014385,ENSOANT00000022677,69.14
ENSOANG00000030544,ENSOANT00000042242,50.51
ENSOANG00000003406,ENSOANT00000005403,48.08
ENSOANG00000014845,ENSOANT00000023378,43.75
ENSOANG00000010216,ENSOANT00000016201,59.26
ENSOANG00000029583,ENSOANT00000039174,46.66
ENSOANG00000008762,ENSOANT00000013963,65.64
ENSOANG00000028314,ENSOANT00000042183,70.09
ENSOANG00000022623,ENSOANT00000032692,42.22
ENSOANG00000015203,ENSOANT00000023943,54.64
ENSOANG00000000738,ENSOANT00000001157,63.28
ENSOANG00000030670,ENSOANT00000039399,41.79
ENSOANG00000008903,ENSOANT00000014177,52.38
ENSOANG00000008904,ENSOANT00000014179,43.80
ENSOANG00000020250,ENSOANT00000029533,62.02
ENSOANG00000001994,ENSOANT00000003163,50.12
ENSOANG00000001995,ENSOANT00000003164,52.47
ENSOANG00000001996,ENSOANT00000003165,51.30
ENSOANG00000001997,ENSOANT00000003166,47.77
ENSOANG00000020984,ENSOANT00000030506,45.16
ENSOANG00000001998,ENSOANT00000003169,38.22
ENSOANG00000002000,ENSOANT00000003172,42.95
ENSOANG00000002000,ENSOANT00000003171,42.95
ENSOANG00000012886,ENSOANT00000020382,45.10
ENSOANG00000006844,ENSOANT00000010912,72.45
ENSOANG00000021431,ENSOANT00000031085,65.96
ENSOANG00000031471,ENSOANT00000038482,57.41
ENSOANG00000007865,ENSOANT00000012528,41.46
ENSOANG00000031768,ENSOANT00000039453,44.41
ENSOANG00000007864,ENSOANT00000012525,42.85
ENSOANG00000007864,ENSOANT00000012526,42.85
ENSOANG00000031037,ENSOANT00000039594,57.83
ENSOANG00000007863,ENSOANT00000012524,47.45
ENSOANG00000007875,ENSOANT00000012542,41.48
ENSOANG00000029476,ENSOANT00000039951,41.27
ENSOANG00000031605,ENSOANT00000042124,40.71
ENSOANG00000020982,ENSOANT00000030502,42.71
ENSOANG00000031068,ENSOANT00000040750,41.40
ENSOANG00000007777,ENSOANT00000012389,48.63
ENSOANG00000007778,ENSOANT00000012391,44.40
ENSOANG00000008852,ENSOANT00000014094,41.63
ENSOANG00000021294,ENSOANT00000012390,43.49
ENSOANG00000013258,ENSOANT00000020940,40.41
ENSOANG00000030007,ENSOANT00000038570,43.17
ENSOANG00000028359,ENSOANT00000038431,43.06
ENSOANG00000013863,ENSOANT00000021867,43.01
ENSOANG00000013862,ENSOANT00000021866,42.68
ENSOANG00000007779,ENSOANT00000012392,41.06
ENSOANG00000007780,ENSOANT00000012393,41.99
ENSOANG00000007781,ENSOANT00000012395,48.52
ENSOANG00000007782,ENSOANT00000012396,46.61
ENSOANG00000022065,ENSOANT00000031934,51.93
ENSOANG00000022065,ENSOANT00000031933,51.93
ENSOANG00000020000,ENSOANT00000029192,59.14
ENSOANG00000006539,ENSOANT00000010436,60.17
ENSOANG00000006540,ENSOANT00000010439,71.35
ENSOANG00000005598,ENSOANT00000008909,46.28
ENSOANG00000021620,ENSOANT00000031330,47.79
ENSOANG00000002566,ENSOANT00000004064,47.12
ENSOANG00000007236,ENSOANT00000011520,48.20
ENSOANG00000007233,ENSOANT00000011515,46.54
ENSOANG00000007233,ENSOANT00000011514,46.54
ENSOANG00000012545,ENSOANT00000019842,55.24
ENSOANG00000010725,ENSOANT00000017010,45.13
ENSOANG00000030873,ENSOANT00000039657,42.05
ENSOANG00000021898,ENSOANT00000031716,71.50
ENSOANG00000030632,ENSOANT00000041113,37.05
ENSOANG00000031300,ENSOANT00000041931,50.41
ENSOANG00000005306,ENSOANT00000008453,53.82
ENSOANG00000011051,ENSOANT00000017509,57.27
ENSOANG00000011051,ENSOANT00000017510,57.27
ENSOANG00000032200,ENSOANT00000041213,67.38
ENSOANG00000022717,ENSOANT00000032824,58.93
ENSOANG00000012721,ENSOANT00000020134,39.73
ENSOANG00000031892,ENSOANT00000040063,59.83
ENSOANG00000021796,ENSOANT00000031580,46.34
ENSOANG00000014889,ENSOANT00000023441,46.65
ENSOANG00000012972,ENSOANT00000020513,53.19
ENSOANG00000007306,ENSOANT00000011634,55.20
