default,student,balance,income
No,No,729.52,44360
No,Yes,817.18,12100
No,No,1073.54,31760
No,No,529.25,35700
No,No,785.65,38460
No,Yes,919.58,7490
No,No,825.51,24900
No,Yes,808.66,17600
No,No,1161.05,37460
No,No,0,29270
No,Yes,0,21870
No,Yes,1220.58,13260
No,No,237.04,28250
No,No,606.74,44990
No,No,1112.96,23810
No,No,286.23,45040
No,No,0,50260
No,Yes,527.54,17630
No,No,485.93,61560
No,No,1095.07,26460
No,No,228.95,50500
No,No,954.26,32450
No,No,1055.95,51310
No,No,641.98,30460
No,No,773.21,34350
No,No,855.00,25210
No,No,642.99,41470
No,No,1454.86,32180
No,No,615.70,39370
No,Yes,1119.56,16550
No,No,494.81,54380
No,Yes,448.88,15790
No,Yes,584.90,22420
No,No,913.58,46900
No,Yes,1423.93,22630
No,Yes,1499.72,13190
No,No,692.03,47800
No,No,351.45,35080
No,No,742.62,37860
No,No,653.11,39480
No,No,872.13,41780
No,No,837.26,51470
No,No,1151.63,42910
No,Yes,220.55,16870
No,Yes,1690.23,19050
No,No,408.77,54200
No,No,1238.61,50060
No,No,1228.30,37400
No,No,820.91,47740
No,No,857.48,31680
No,No,563.61,42640
No,Yes,1282.97,13120
No,Yes,1505.78,26550
No,Yes,904.04,16880
No,No,0,49950
No,Yes,1294.49,10460
No,Yes,1275.55,15880
No,No,1536.59,48760
No,No,1332.52,39140
No,No,492.07,33370
No,No,766.23,46470
No,No,690.12,63430
No,No,0,32480
No,No,1480.65,36860
No,No,989.05,45340
No,No,1302.34,33690
No,No,1044.55,54690
No,No,0,43650
No,No,866.02,38360
No,No,690.80,48140
No,No,597.75,31570
No,No,429.48,51310
No,No,1398.15,39640
No,Yes,1578.06,19880
No,No,857.06,26650
No,Yes,752.45,16210
No,Yes,774.73,15190
No,No,728.37,45130
No,No,76.99,28390
No,No,196.45,41340
No,Yes,948.74,14290
No,No,431.92,39360
No,No,461.63,46220
No,No,572.01,33040
No,No,335.56,51250
No,No,510.23,60390
No,Yes,1005.16,24030
No,Yes,162.45,13240
No,No,932.53,50530
No,Yes,893.33,11900
No,No,1332.78,44490
No,No,1404.38,35040
No,Yes,1148.96,16570
No,No,368.22,57590
No,No,449.46,45950
No,No,820.01,51580
No,Yes,619.75,15750
No,No,1047.71,46410
No,No,243.84,47190
No,No,186.50,45430
No,No,1422.01,38220
No,No,383.79,61420
No,No,1159.43,45800
No,No,882.99,17180
No,No,1463.23,65450
No,Yes,1722.35,19310
No,Yes,773.92,14550
No,No,958.16,32810
No,No,1207.53,68030
No,No,1056.61,30540
No,No,117.64,46550
No,No,596.96,58080
No,No,0,47720
No,Yes,541.66,16330
No,No,1119.17,45020
No,Yes,810.32,20490
No,No,271.55,32850
No,No,1114.40,47710
No,No,867.03,33540
No,Yes,1176.78,17630
No,No,610.22,42460
No,No,272.61,55440
No,No,449.73,49640
No,Yes,827.76,10670
No,No,430.00,33920
No,No,0,31820
No,Yes,1557.34,18400
No,No,928.23,33720
No,No,1373.45,49100
No,Yes,951.07,18600
No,Yes,1292.21,23060
No,No,582.18,24760
No,Yes,339.42,19300
No,No,409.98,44640
No,No,1216.45,53630
No,No,598.46,44120
Yes,Yes,1486.99,17850
No,No,943.79,59970
No,No,0,49520
No,Yes,996.27,20880
No,Yes,748.30,11240
No,No,324.73,15410
No,Yes,575.38,16000
No,No,441.73,36010
No,No,1188.64,39520
No,No,95.14,51370
No,No,1015.61,43210
No,No,1258.56,44930
No,Yes,1178.24,7750
No,No,731.53,43950
No,No,350.08,44450
No,No,418.84,36900
No,No,533.22,39390
No,No,95.29,32350
No,Yes,1453.00,15930
No,No,352.64,39400
No,Yes,736.23,14100
No,No,1306.48,41220
No,No,1149.14,45190
No,No,703.22,57670
No,Yes,1360.80,18860
No,No,31.44,53280
No,No,988.21,48570
No,No,360.01,23920
No,No,647.48,33220
No,Yes,0,9810
No,No,445.24,31970
No,Yes,878.54,17490
No,Yes,335.83,21750
No,No,666.60,30430
No,No,813.87,40730
No,No,836.30,54600
No,No,967.48,33050
Yes,Yes,2205.79,14270
No,Yes,1258.18,11670
No,No,1239.80,40100
No,Yes,0,13760
No,Yes,927.88,22470
No,Yes,1390.03,21290
No,No,410.49,53470
No,No,73.07,30680
No,No,790.59,45300
No,No,789.49,32570
No,No,791.36,46310
No,No,479.04,37250
No,No,888.61,28890
No,No,1284.38,42830
No,Yes,712.27,23340
No,Yes,1290.62,18400
No,No,126.36,44280
No,No,779.37,61150
No,No,697.49,49470
No,No,606.97,43610
No,Yes,1802.90,21410
No,No,900.08,41270
No,No,966.28,33440
No,No,671.06,35680
No,No,171.55,23500
No,No,1482.48,45260
No,No,640.66,46460
No,Yes,706.16,18070
Yes,Yes,1774.69,20350
No,No,916.49,25760
No,No,1271.27,36050
No,No,110.57,47330
No,No,1747.25,37810
Yes,No,1889.59,48950
No,No,27.20,21050
No,No,746.22,35150
Yes,Yes,1899.39,20650
No,Yes,813.99,20390
No,No,499.45,38890
No,No,853.16,36270
No,No,474.72,32060
No,No,1235.87,35830
No,No,620.67,44210
No,No,220.02,37880
No,Yes,1304.91,18070
No,Yes,1608.15,22350
No,No,256.47,37650
No,Yes,1153.60,19220
No,No,771.89,31170
No,Yes,1099.63,17060
No,No,782.88,40350
No,No,444.26,35920
No,No,504.02,24780
No,No,1762.50,42120
No,Yes,850.09,18610
No,No,1412.23,40780
No,No,715.49,47480
No,No,1363.52,55710
No,No,493.24,42490
No,No,1354.75,33370
No,Yes,571.29,15410
No,No,956.15,44080
No,No,964.82,34390
No,No,552.63,50510
No,No,338.26,37760
No,No,709.12,44040
No,No,978.97,57830
No,No,371.01,15700
Yes,Yes,1572.85,14930
No,No,0,40150
Yes,No,1964.47,39050
No,No,548.03,33600
No,No,1257.05,34040
No,No,1189.91,38010
No,No,687.68,39370
No,No,845.69,39890
No,Yes,957.68,19670
No,No,233.51,43320
No,Yes,1126.94,14290
No,Yes,488.85,15150
No,No,767.90,44320
No,No,561.92,31380
No,Yes,1092.27,17450
No,No,71.78,31960
No,Yes,1839.14,13620
No,Yes,876.00,22470
No,No,554.10,30350
No,No,891.31,43940
No,No,464.83,27320
No,Yes,563.54,24080
Yes,No,1530.35,30000
