Variable,Description
Country,Country 
Continent,Continent
RegionUN,UN Regional Classification
SubregionUN,UN Subregional Classification
TotalPop2012,Total population (thousands)
under5pop2012,Total under-5 population (thousands)
urbanpop_percent2010,Population urban (%)
over65pop_percent2012,Population >65 years (%)
u5mr_1990,Under-5 mortality rate (Deaths per 1,000 live births)
u5mr_2000,Under-5 mortality rate (Deaths per 1,000 live births)
u5mr_2010,Under-5 mortality rate (Deaths per 1,000 live births)
u5mr_2012,Under-5 mortality rate (Deaths per 1,000 live births)
Poverty_125_1990,Poverty rates $1.25 a day (%), 1990
Poverty_125_2000,Poverty rates $1.25 a day (%), 2000
Poverty_125_2010,Poverty rates $1.25 a day (%), 2010
Poverty_125_2011_12,Poverty rates $1.25 a day (%), most recent survey between 2011 and 2012
Poverty_2_1990,Poverty rates $2 a day (%), 1990
Poverty_2_2000,Poverty rates $2 a day (%), 2000
Poverty_2_2010,Poverty rates $2 a day (%), 2010
Poverty_2_2011_12,Poverty rates $2 a day (%), most recent survey between 2011 and 2012
GDP_1990,Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 1990
GDP_2000,Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2000
GDP_2010,Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), 2010
GDP_2011_13,Gross domestic product (GDP) per capita, purchasing power parity (PPP) (constant 2011 international $), most recent survey between 2011 and 2013
year_GiniIndex,Year, Income inequality (Gini Index)
GiniIndex,Income inequality (Gini Index)
year_U5Anthro,Year, under-5 anthropometric surveys
stuntingRATE,Under-5 stunting (%) 
wastingRATE,Under-5 wasting (%)
severewastingRATE,Under-5 severe wasting (%)
overweightRATE,Under-5 overweight (%)
stuntingNUMBER,Under-5 stunting, total population affected (thousands)
wastingNUMBER,Under-5 wasting, total population affected (thousands)
overweightNUMBER,Under-5 overweight, total population affected (thousands)
year_LBW,Year, low birth weight incidence (%)
LBWrate,Low birth weight incidence (%)
year_stuntingtrend1,Year, trend in under-5 stunting, 1st of 5 most recent surveys
rate_stuntingtrend1,Trends in under-5 stunting, 1st of 5 most recent surveys
year_stuntingtrend2,Year, trends in under-5 stunting, 2nd of 5 most recent surveys
rate_stuntingtrend2,Trends in under-5 stunting, 2nd of 5 most recent surveys
year_stuntingtrend3,Year, trends in under-5 stunting, 3rd of 5 most recent surveys
rate_stuntingtrend3,Trends in under-5 stunting, 3rd of 5 most recent surveys
year_stuntingtrend4,Year, trends in under-5 stunting, 4th of 5 most recent surveys
rate_stuntingtrend4,Trends in under-5 stunting, 4th of 5 most recent surveys
year_stuntingtrend5,Year, trends in under-5 stunting, 5th of 5 most recent surveys
rate_stuntingtrend5,Trends in under-5 stunting, 5th of 5 most recent surveys
year_adolescentAnthro,Year, adolescent anthropometric survey
overweight_adolescent,Adolescent overweight (%)
obesity_adolescent,Adolescent obesity (%)
year_WRA_thin_short,Year, women of reproductive age anthropometric survey
BMIbelow18_WRA_thin,Women of reproductive age thinness (%)
Heightbelow145_WRA_short,Women of reproductive age short stature (%)
year_adult_OWOB,Year, adult anthropometry
OWbothsex,Adult overweight (%), both sexes
OWmale,Adult overweight (%), male
OWfemale,Adult overweight (%), female
OBbothsex,Adult obesity (%), both sexes
OBmale,Adult obesity (%), male
OBfemale,Adult obesity (%), female
year_WRAanaemia,Year, anaemia in women of reproductive age
WRAanaemia_RATE,Women of reproductive age anemia (%)
WRAanaemia_NUMBER,Women of reproductive age anemia, total population affected (thousands) 
year_vitaminAdef,Year, vitamin A deficiency in preschool-age children (%)
rate_vitaminAdef,Vitamin A deficiency in preschool-age children (%)
year_IodineNutrition,Year, classification of iodine nutrition
Class_IodineNutrition,Classification of iodine nutrition
year_bloodglucose,Year, adult raised blood glucose (%)
BGboth,Adult raised blood glucose (%), both sexes
BGmale,Adult raised blood glucose (%), male
BGfemale,Adult raised blood glucose (%), female
year_bloodpressure,Year, adult raised blood pressure (%)
BPboth,Adult raised blood pressure (%), both sexes
BPmale,Adult raised blood pressure (%), male
BPfemale,Adult raised blood pressure (%), female
year_cholesterol,Year, adult raised cholesterol (%)
cholesterol_BOTH,Adult raised cholesterol levels (%), both sexes
cholesterol_MALE,Adult raised cholesterol levels (%), male
cholesterol_FEMALE,Adult raised cholesterol levels (%), female
year_stunt_waste_OW,Year, World Health Assembly (WHA) indicators: Progress against Global WHA Target (anthropometry)
WHAtarget_Stunting1,Under-5 stunting on/not on course for Global WHA Target 
WHAtarget_Wasting1,Under-5 wasting on/not on course for Global WHA Target
WHAtarget_Overweight1,Under-5 overweight on/not on course for Global WHA Target
year_WHAtarget_WRAanaemia,Year, World Health Assembly (WHA) indicators: Progress against Global WHA Target (WRA anaemia)
WHAtarget_WRAanaemia1,Women of reproductive age anemia on/not on course for Global WHA Target
year_MADMDD,Year, MAD and MDD
MinAccDiet,Minimum acceptable diet (%)
MinDietDiv,Minimum dietary diversity (%)
year_ANC4,Year, Antenatal care (4+ visits) (%)
ANC4_rate,Antenatal care (4+ visits) (%)
year_SBA,Year, Skilled attendant at birth (%)
SBA_rate,Skilled attendant at birth (%)
year_earlyBF,Year, Early initiation of breastfeeding (within 1 hour after birth) (%)
earlyBF_rate,Early initiation of breastfeeding (within 1 hour after birth) (%)
year_contBF,Year, Continued breastfeeding (at 1 year) (%)
contBF_rate,Continued breastfeeding (at 1 year) (%)
year_UMN_FP,Year, Unmet need for family planning (%)
UMN_FP_percent,Unmet need for family planning (%)
year_EBFtrend1,Year, trends in Exclusive breastfeeding <6 months (%), 1st of 3 most recent surveys
EBF_rate1,Trends in Exclusive breastfeeding <6 months (%), 1st of 3 most recent surveys
