Country,Continent,RegionUN,SubregionUN,year_BFcode,BFcode_status1,year_RTF,RTF_level1,year_maternityprotection,cat_maternityprotection,year_wheatfortification,status_wheatfortification,year_policyrank,policyrank_1to83,year_NCDpolicy,hypertension_policy,diabetes_policy,year_SUN,SUN_Process1,SUN_Process2,SUN_Process3,SUN_Process4,SUN_TotalAccomplished
Afghanistan,Asia,Asia,Southern Asia,2014,Law,2003,,2011,Partial,,No fortification,2008-2013,23,2010,Not available,"Available, partially implemented",2014,,,,,
Albania,Europe,Europe,Southern Europe,2014,Law,2003,Medium,2011,Yes,,Planning,2007-2013,77,2010,"Available, not implemented","Available, not implemented",2014,,,,,
Algeria,Africa,Africa,Northern Africa,2014,Few provisions law,2003,Medium,2011,Yes,,No fortification,2012-2014,83,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Andorra,Europe,Europe,Southern Europe,2014,,2003,Medium low,2011,,,No fortification,.,,2010,Not available,Not available,2014,,,,,
Angola,Africa,Africa,Middle Africa,2014,Being studied,2003,Medium,2011,Partial,,No fortification,2012-2017,83,2010,Not available,Not available,2014,,,,,
Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,2014,,2003,,2011,Partial,1992,Mandatory,,,2010,,,2014,,,,,
Argentina,Americas,Latin America and the Caribbean,South America,2014,Many provisions law,2003,Low,2011,Partial,2002,Mandatory,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Armenia,Asia,Asia,Western Asia,2014,Few provisions law,2003,Medium,2011,Yes,,Planning,2008-2021,74,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Australia,Oceania,Oceania,Australia and New Zealand,2014,Voluntary,2003,,2011,Yes,2009,Mandatory,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Austria,Europe,Europe,Western Europe,2014,Many provisions law,2003,Medium,2011,Yes,,No fortification,,,2010,,,2014,,,,,
Azerbaijan,Asia,Asia,Western Asia,2014,Many provisions law,2003,Medium,2011,Yes,,Planning,2020,83,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Bahamas,Americas,Latin America and the Caribbean,Caribbean,2014,,2003,,2011,Partial,1992,Mandatory,,,2010,,,2014,,,,,
Bahrain,Asia,Asia,Western Asia,2014,Law,2003,Medium low,2011,No,2006,Mandatory,2030,83,2010,"Available, partially implemented","Available, fully implemented",2014,,,,,
Bangladesh,Asia,Asia,Southern Asia,2014,Many provisions law,2003,High,2011,Yes,,,2011Ð2015,3,2010,"Available, fully implemented","Available, fully implemented",2014,56,66,73,65,65
Barbados,Americas,Latin America and the Caribbean,Caribbean,2014,,2003,,2011,Partial,1992,Mandatory,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Belarus,Europe,Europe,Eastern Europe,2014,Being studied,2003,Medium,2011,Yes,,No fortification,2004-2020,83,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Belgium,Europe,Europe,Western Europe,2014,Many provisions law,2003,Medium high,2011,Yes,,No fortification,,,2010,Not available,"Available, fully implemented",2014,,,,,
Belize,Americas,Latin America and the Caribbean,Central America,2014,,2003,,2011,Yes,1998,Mandatory,,,2010,"Available, not implemented","Available, partially implemented",2014,,,,,
Benin,Africa,Africa,Western Africa,2014,Law,2003,Medium,2011,Yes,2012,Mandatory,2011Ð2015,18,2010,Not available,Not available,2014,54,46,73,50,56
Bhutan,Asia,Asia,Southern Asia,2014,Voluntary,2003,,2011,,,No fortification,2013-2018,35,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Bolivia,Americas,Latin America and the Caribbean,South America,2014,Many provisions law,2003,Medium high,2011,No,1996,Mandatory,2006-2011,20,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Bosnia and Herzegovina,Europe,Europe,Southern Europe,2014,Measure drafted awaiting final approval,2003,,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Botswana,Africa,Africa,Southern Africa,2014,Law,2003,,2011,Partial,,Planning,2009-2016,60,2010,Not available,Not available,2014,,,,,
Brazil,Americas,Latin America and the Caribbean,South America,2014,Law,2003,High,2011,Yes,2002,Mandatory,2012-2015,16,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Brunei Darussalam,Asia,Asia,South-Eastern Asia,2014,,2003,,2011,No,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Bulgaria,Europe,Europe,Eastern Europe,2014,No information,2003,Medium,2011,Yes,,No fortification,2007-2013,82,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Burkina Faso,Africa,Africa,Western Africa,2014,Law,2003,Medium low,2011,Yes,2012,Mandatory,2011Ð2015,39,2010,Not available,Not available,2014,59,56,30,52,49
