Country,Continent,RegionUN,SubregionUN,year_U5Anthro,stuntingRATE,wastingRATE,severewastingRATE,overweightRATE,stuntingNUMBER,wastingNUMBER,overweightNUMBER,year_LBW,LBWrate,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,year_adolescentAnthro,overweight_adolescent,obesity_adolescent,year_WRA_thin_short,BMIbelow18_WRA_thin,Heightbelow145_WRA_short,year_adult_OWOB,OWbothsex,OWmale,OWfemale,OBbothsex,OBmale,OBfemale,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_vitaminAdef,rate_vitaminAdef,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,year_stunt_waste_OW,WHAtarget_Stunting1,WHAtarget_Wasting1,WHAtarget_Overweight1,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1
Afghanistan,Asia,Asia,Southern Asia,,,,,,,,,.,,1997,53.2,2004,59.3,,,,,,,.,,,.,,,2008,11.8,10,13.6,2.4,1.5,3.3,2011,33,2338.7,.,64.5,,.,2008,9.2,8.9,9.5,2008,38.6,38.9,38.1,2008,21.9,20.9,22.8,,,,,2011,Currently off course
Albania,Europe,Europe,Southern Europe,2009,23.1,9.4,5.9,23.4,45.1,18.3,45.6,2008-09,4,1997,20.4,2000,39.2,2005,27,2009,23.1,,,.,,,2008-09,1.7,0.1,2008,54.2,60.5,48.2,21.1,21.7,20.5,2011,21.5,184.6,.,18.6,,.,2008,9.6,10.3,9,2008,44.9,48,42,2008,45.3,46.3,44.3,2009,Currently on course,Currently off course,Currently off course,2011,Currently off course
Algeria,Africa,Africa,Northern Africa,2005,15.9,4,1.6,12.9,689.7,173.5,559.5,2006,6,1992,22.9,1995,22.5,2000,23.6,2002,23.3,2005,15.9,2011,13.7,3.2,.,,,2008,48.2,41.8,54.5,17.5,10.7,24.3,2011,32.7,3398.5,.,15.7,1994,Moderate iodine deficiency,2008,9.2,9,9.3,2008,43.5,43.8,43,2008,39.4,37.3,41.4,2005,Currently on course,Currently on course,Currently off course,2011,Currently off course
Andorra,Europe,Europe,Southern Europe,,,,,,,,,.,,,,,,,,,,,,.,,,.,,,2008,58.9,65.9,51.9,24.2,25.7,22.6,2011,17,3.6,.,,,.,2008,8.6,10.4,7,2008,36.7,42.6,30.9,2008,67.1,69.7,61.1,,,,,2011,Currently off course
Angola,Africa,Africa,Middle Africa,2007,29.2,8.2,4.3,,1151.8,323.5,,2000,12,1996,61.7,2007,29.2,,,,,,,.,,,.,,,2008,25.8,20.4,30.7,7.2,3.8,10.2,2011,44.8,2006.7,1999,64.3,,.,2008,8.5,8.2,8.7,2008,45.5,47.9,43.1,2008,30.9,29.7,31.8,2007,,Currently off course,,2011,Currently off course
Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,2005-2008,5,,,,,,,,,,,.,,,.,,,2008,50.9,54.5,63.3,25.8,18.1,33.1,2011,24.9,6.2,1997,7.4,,.,2008,11.7,11.3,12,2008,42.4,47.1,37.8,2008,43,40.4,45.4,,,,,2011,Currently off course
Argentina,Americas,Latin America and the Caribbean,South America,2005,8.2,1.2,0.2,9.9,279.4,40.9,337.4,2011,7,1994,7.1,1996,16.9,2005,8.2,,,,,2012,28.6,5.9,.,,,2008,64,66.8,61.1,29.4,27.4,31,2011,15.6,1607,2004Ð2005,14.3,,.,2008,10.6,11,10.3,2008,35.2,41.8,29.2,2008,50.5,50.6,50,2005,,Currently on course,Currently off course,2011,Currently off course
Armenia,Asia,Asia,Western Asia,2010,20.8,4.2,2,16.8,44.1,8.9,35.7,2010,8,1998,15.1,2000,17.7,2005,18.2,2010,20.8,,,.,,,2005,6.3,0.5,2008,55.1,49.2,59.3,23.4,14.4,30.2,2011,25.9,219.6,1998,0.6,1998,Optimal iodine nutrition,2008,11.5,11.5,11.5,2008,47.8,49.8,46,2008,40.8,39.6,41.5,2010,Currently off course,Currently on course,Currently off course,2011,Currently off course
Australia,Oceania,Oceania,Australia and New Zealand,,,,,,,,,2000,7,,,,,,,,,,,.,,,.,,,2008,61.3,66.5,56.2,25.1,25.2,24.9,2011,17.5,961.8,.,,2000,Mild iodine deficiency,2008,8.1,9.6,6.7,2008,31.8,37.4,26.2,2008,55.2,54.8,55.3,,,,,2011,Currently off course
Austria,Europe,Europe,Western Europe,,,,,,,,,2001,7,,,,,,,,,,,.,,,.,,,2008,49.6,56.9,42.1,18.3,19.2,17.1,2011,18.5,374.7,.,,1994,Optimal iodine nutrition,2008,5.8,7.1,4.6,2008,38,42.6,33.4,2008,59.7,61.3,57.7,,,,,2011,Currently off course
